iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
35,9/11/12 21:08,"bm13,bm08,burn3","bm02,bm09,nbh","92,16,77","0,72,13",8
30,9/11/12 20:07,"burn1,bm10,burn3","bm02,burn2,nbh","0,28,39","91,61,46",6
5,9/12/12 16:08,"bm13,bm08,burn3","bm02,bm09,nbh","34,15,43","59,77,42",27
10,9/12/12 16:30,"bm13,bm08,burn3","bm02,bm09,nbh","68,0,1","18,89,76",28
20,9/12/12 18:33,"bm13,bm08,burn3","bm02,bm09,nbh","68,18,64","13,69,22",31
25,9/12/12 18:42,"bm13,bm08,burn3","bm02,bm09,nbh","92,13,65","0,77,22",32
37,9/12/12 19:22,"bm13,bm08,burn3","bm02,bm09,nbh","46,0,61","45,92,44",35
77,9/14/12 19:20,"bm13,bm08,burn3","bm02,bm09,nbh","91,12,84","82,85,70",49
104,9/16/12 21:23,"bm13,bm08,burn3","bm02,bm09,nbh","92,86,87","0,0,0",50
113,9/16/12 21:35,"bm13,bm08,burn3","bm02,bm09,nbh","50,0,0","24,89,88",55
118,9/16/12 22:16,"bm13,bm08,burn3","bm02,bm09,nbh","47,51,30","23,42,55",56
131,9/17/12 09:07,"bm13,bm08,burn3","bm02,bm09,nbh","15,0,54","67,89,41",58
141,9/17/12 18:24,"bm13,bm08,burn3","bm02,bm09,nbh","34,76,90","63,89,85",62
147,9/17/12 22:32,"bm13,bm08,burn3","bm02,bm09,nbh","32,12,61","60,78,31",63
154,9/18/12 01:59,"bm13,bm08,burn3","bm02,bm09,nbh","59,23,84","26,67,9",65
187,9/18/12 18:26,"bm13,bm08,burn3","bm02,bm09,nbh","65,12,87","1,80,7",69
30,9/12/12 19:08,"burn1,bm10,burn3","bm02,burn2,nbh","67,8,21","19,80,61",34
41,9/12/12 19:25,"burn1,bm10,burn3","bm02,burn2,nbh","25,11,47","72,76,41",36
53,9/13/12 09:39,"burn1,bm10,burn3","bm02,burn2,nbh","65,6,55","13,77,36",40
68,9/14/12 00:26,"burn1,bm10,burn3","bm02,burn2,nbh","49,27,9","42,58,69",44
85,9/16/12 20:57,"burn1,bm10,burn3","bm02,burn2,nbh","90,13,23","9,79,71",NULL
89,9/16/12 21:00,"burn1,bm10,burn3","bm02,burn2,nbh","67,19,3","19,65,77",50
106,9/16/12 21:24,"burn1,bm10,burn3","bm02,burn2,nbh","48,24,0","51,70,89",54
107,9/16/12 21:25,"burn1,bm10,burn3","bm02,burn2,nbh","12,7,16","6,77,72",54
123,9/17/12 00:16,"burn1,bm10,burn3","bm02,burn2,nbh","77,21,5","41,71,79",57
161,9/18/12 07:33,"burn1,bm10,burn3","bm02,burn2,nbh","113,12,15","36,12,87",66
175,9/18/12 15:10,"burn1,bm10,burn3","bm02,burn2,nbh","82,94,29","30,0,60",67
193,9/19/12 19:45,"burn1,bm10,burn3","bm02,burn2,nbh","63,72,12","28,18,71",71
