iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
142,9/17/12 22:23,"96,36,7,55,147,46","74,133,51,10,36,104","58,44,4,62,45,90","44,53,64,92,18,0",63
143,9/17/12 22:28,"21,140,83,65,14,26","5,31,77,20,83,123","33,14,33,26,16,23","37,74,57,69,72,61",NULL
148,9/17/12 22:41,"68,31,12,69,136,84","25,57,101,84,71,127","58,10,13,87,84,91","37,81,87,65,90,83",64
149,9/18/12 01:38,"80,150,66,94,17,33","86,28,94,11,62,124","67,5,0,20,0,0","49,88,87,14,0,0",NULL
150,9/18/12 01:52,"15,63,154,99,29,76","155,72,1,67,56,43","71,0,0,82,7,90","1,89,87,18,63,0",65
157,9/18/12 07:27,"78,8,93,61,143,41","60,78,8,93,30,138","37,44,71,49,10,12","52,47,5,36,69,70",66
171,9/18/12 15:04,"65,144,7,78,83,36","46,31,65,1,78,143","1,0,0,17,89,25","0,0,0,44,4,74",67
179,9/18/12 15:29,"139,46,52,45,11,74","23,1,100,139,49,52","53,58,11,78,69,57","72,40,66,67,23,15",68
183,9/18/12 18:22,"27,15,70,58,101,151","131,58,97,15,82,39","36,41,40,90,26,13","1,45,36,6,54,0",69
188,9/18/12 23:55,"9,57,149,73,44,104","76,104,35,9,132,56","37,23,100,17,72,65","61,77,72,92,29,87",70
189,9/19/12 19:32,"53,144,47,77,37,14","20,38,65,5,158,89","56,96,0,71,96,70","27,83,93,37,88,90",71
